Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
37	NCT01486992	mFOLFIRI Combine With Nimotuzumab Second Line Chemotherapy for Squamous-cell Carcinoma of the Esophagus	Recruiting	No Results Available	Advanced Esophageal Carcinoma	Drug: mFOLFIRI+Nimotuzumab	Peking University	Both	Adult|Senior	Phase 2	40	Other	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	N+FOLFIRI-AEC-4	22-Nov-11	Nov-11	Nov-12	11-Jan-12	Nov-11	No Study Results Posted	null	Nov-12	overall survival|adverse events|progression-free survival|response rate|disease control rate	http://ClinicalTrials.gov/show/NCT01486992
38	NCT02188615	Study of Neo-adjuvant Chemoradiotherapy Followed by Minimally Invasive Esophagectomy for Squamous Cell Esophageal Cancer	Recruiting	No Results Available	Squamous Cell Esophageal Carcinoma	Procedure: Neo-adjuvant Chemoradiotherapy followed by Mckeown MIE|Drug: Cisplatin|Device: Mckeown MIE	Chengchu Zhu|Sun Yat-sen University|Fudan University|Taizhou Hospital	Both	Adult|Senior	Phase 2	120	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	BZhang|2011C13039-2	28-Jun-14	Jun-11	Jul-19	9-Jul-14	Jul-14	No Study Results Posted	NACRFMIE	Jun-15	Overall survival rate|Disease free survival|the opportunity of MIE after neo-adjuvant chemoradiotherapy|Side effects of neo-adjuvant chemoradiotherapy|Duration of surgery|Quantity of bleeding|number of lymph nodes retrieved|Days of  postoperative stay|Rate of Operative Complication|Mortality of perioperation	http://ClinicalTrials.gov/show/NCT02188615
39	NCT00341523	Early Detection of Esophageal Cancer	"Active, not recruiting"	No Results Available	"Esophageal Neoplasms|Stomach Neoplasms|Endoscopy, Gastrointestinal|Digestive System Endoscopic Surgical Procedures|Cytology"		National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)	Both	Adult|Senior		8000	NIH	Observational	Time Perspective: Prospective	999995026|OH95-C-N026	19-Jun-06	May-94	null	11-Dec-14	Dec-14	No Study Results Posted	null	null	Esophageal squamous dysplasia|Esophageal squamous cell carcinoma (ESCC)|Death from any cause	http://ClinicalTrials.gov/show/NCT00341523
40	NCT01704690	Combination Treatment of S-1 With Paclitaxel in Advanced Esophageal Cancer	Recruiting	No Results Available	Esophageal Cancer	Drug: S-1 and Paclitaxel|Drug: Paclitaxel and Cisplatin|Drug: 5-FU and Cisplatin	Peking University	Both	Adult|Senior	Phase 2|Phase 3	80	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	ESCC001	4-Oct-12	Aug-12	Dec-15	13-Oct-14	Oct-14	No Study Results Posted	null	Dec-15	Response rate|The median overall survival time|Median progression-free time|Number of Participants with Adverse Events and the degree of each adverse event	http://ClinicalTrials.gov/show/NCT01704690
41	NCT01051765	Irinotecan Combined With Cisplatin as 1st Line Treatment for Esophageal Squamous Cell Cancer : a Single Center Prospective Clinical Trial	Recruiting	No Results Available	Advanced Esophageal Squamous Carcinoma	Drug: irinotecan/cisplatin	Peking University	Both	Adult|Senior	Phase 2	60	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	IP-AEC1	19-Jan-10	Aug-09	Aug-12	19-Jan-10	May-09	No Study Results Posted	null	Aug-11	overall survival|PFS|response rate|adverse events|polymorphism of UGT1A	http://ClinicalTrials.gov/show/NCT01051765
42	NCT01336049	Nimotuzumab Plus Paclitaxel and Cisplatin as 1st Line Treatment for Esophageal Squamous Cell Cancer	Recruiting	No Results Available	Esophageal Squamous Cell Cancer	Drug: Nimotuzumab	Peking University	Both	Adult|Senior	Phase 2	70	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	N+TP-AEC3	29-Mar-11	Mar-11	null	14-Apr-11	Mar-11	No Study Results Posted	null	Dec-11	Objective response rate|overall survival of all participants|progression free survival|adverse events	http://ClinicalTrials.gov/show/NCT01336049
43	NCT01752205	Paclitaxel Plus Radiation With Erlotinib to Treat Esophageal Squamous Carcinoma	Recruiting	No Results Available	Esophageal Squamous Carcinoma	Drug: Paclitaxel|Drug: Erlotinib|Radiation: Radiation therapy	The Affiliated Hospital of the Chinese Academy of Military Medical Sciences	Both	Adult|Senior	Phase 3	120	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	ESCC-307PLAH-XJM	16-Dec-12	Nov-12	Nov-14	16-Dec-12	Dec-12	No Study Results Posted	ESCC-307PLAH	May-14	Progression free survival|Tumor response rate|disease control rate|overall survival|adverse events	http://ClinicalTrials.gov/show/NCT01752205
44	NCT00642239	A Clinical Trial of a Radiation Sensitizer in Radiochemotherapy for Thoracic Esophageal Squamous Carcinoma	Recruiting	No Results Available	Esophageal Carcinoma	Drug: placebo|Drug: Sodium Glycididazole	"Shandong Luye Pharmaceutical Co., Ltd."	Both	Adult|Senior	Phase 4	48	Industry	Interventional	"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)"	CMNa-ESO-01-2007	21-Mar-08	Apr-08	Dec-09	13-May-08	May-08	No Study Results Posted	null	Dec-08	tumour local control rate|survival rate	http://ClinicalTrials.gov/show/NCT00642239
45	NCT02375997	Early Palliative Care in Metastatic Esophageal Squamous Carcinoma (ESCC) and Gastric Cancer	Recruiting	No Results Available	Metastatic Esophageal Squamous Carcinoma|Gastric Cancer	Other: Palliative care	Peking University	Both	Adult|Senior	Phase 3	592	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	EPC-UPGI	27-Oct-14	Oct-14	Oct-18	24-Feb-15	Feb-15	No Study Results Posted	null	Oct-17	Overall survival|Quality of life|Overall response rate|Adverse event	http://ClinicalTrials.gov/show/NCT02375997
46	NCT01225523	Perioperative Vs. Preoperative Chemotherapy With Surgery in the Squamous Carcinoma of Esophagus	Completed	No Results Available	Squamous Carcinoma of Esophagus|Esophagus Disorders	Drug: Paclitaxel; Cisplatin; 5-Fluorouracil|Drug: Paclitaxel; Cisplatin; 5-Fluorouracil; Capecitabine	Xi’an Jiaotong University College of Medicine	Both	Adult|Senior	Phase 1	350	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Investigator)	ZY-01	19-Oct-10	Jan-97	Jan-10	20-Oct-10	Sep-10	No Study Results Posted	null	Dec-08	Overall survival rate|Progression-free survival|Pathological remission rate|Resectability rate|Operative and postoperative complication rate|30-day mortality|Toxicity of preoperative and postoperative chemotherapy|Rate of local recurrences and metastasis	http://ClinicalTrials.gov/show/NCT01225523
47	NCT01626209	A Phase I Study of BKM120 in Adult Chinese Patients With Advanced Solid Tumors	Completed	No Results Available	"Advanced Breast Cancer, Advanced Carcinomas With Squamous Cell Histology"	Drug: BKM120	Novartis Pharmaceuticals|Novartis	Both	Adult|Senior	Phase 1	32	Industry	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CBKM120Z2102	20-Jun-12	Jul-12	Apr-14	5-Feb-15	Feb-15	No Study Results Posted	null	Apr-14	"Dose Limiting Toxicity (DLT)|Type, frequency and severity of of Adverse Events (AEs) (based on CTCAE version 4.03|Laboratory and vital sign parameters|Pharmacokinetics: plasma concentration-time profiles of BKM120 for Cmax|Pharmacokinetics: plasma concentration-time profiles of BKM120 for Tmax|Pharmacokinetics: plasma concentration-time profiles of BKM120 for AUCtlast|Pharmacokinetics: plasma concentration-time profiles of BKM120 for AUCtau|Pharmacokinetics: plasma concentration-time profiles of BKM120 for AUCinf|Pharmacokinetics: plasma concentration-time profiles of BKM120 for AUC%Extrap|Pharmacokinetics: plasma concentration-time profiles of BKM120 for CL/F|Pharmacokinetics: plasma concentration-time profiles of BKM120 for Racc|Pharmacokinetics: plasma concentration-time profiles of BKM120 for T1/2acc|Pharmacokinetics: plasma concentration-time profiles of BKM120 for Vss/F|Pharmacokinetics: plasma concentration-time profiles of BKM120 for Rsqadj|Pharmacokinetics: plasma concentration-time profiles of BKM120 for other PK parameters|Objective Response Rate (ORR)|Time to Progression (TTP)"	http://ClinicalTrials.gov/show/NCT01626209
